feature,perm_imp,perm_std,gini_imp,group
WALLTIME_SECONDS,0.0256837845380966,0.001426002344146077,0.05910215758807521,A
hist_idle_frac,0.02165782863522193,0.0022962303290065857,0.11985763559589521,C
hist_util_mean,0.021476416410828935,0.001957354685050682,0.1859679835066589,C
NODES_REQUESTED,0.01644571588054705,0.0007650036355724371,0.015219683597006192,A
CORES_REQUESTED,0.016285235835891743,0.0008017629038360842,0.014643059704218073,A
queue_freq,0.014973485905665673,0.0012009226890287565,0.029833401606255295,A
user_job_count,0.011847613731509943,0.000724977683944214,0.03400693196466253,B
SCIENCE_FIELD_enc,0.009231091264303692,0.0006707376510586158,0.024379093489965132,A
hist_zero_util_frac,0.006921574099916306,0.0013127145342024984,0.11885748147464088,C
hist_power_efficiency,0.006537817471392715,0.0018165492899748872,0.14197387548770746,C
user_walltime_efficiency,0.005847055540050272,0.0009053419806479864,0.033279295353548226,B
user_mean_walltime,0.005393524979067843,0.0009377003903942589,0.037575116640728795,B
user_fail_rate,0.004018978509628857,0.0003734046374619124,0.018907579924460887,B
user_mean_nodes,0.003935249790678219,0.000741181787601977,0.01928331758093185,B
executable_freq,0.0029863243092380976,0.0004508929506392223,0.016006550389101506,A
hist_io_time_frac,0.0026095450739603843,0.0008239234953461135,0.011071816116836272,C
user_mean_runtime,0.0021839240859615307,0.0005259029357022509,0.035064042412195726,B
hist_bytes_per_gpu_hour,0.0017792352777002863,0.0004269913837787976,0.008552608640923411,C
user_quick_cancel_rate,0.0011094055260954861,0.0006134156531977355,0.013296585321717045,B
submit_dow,0.00025816355009770085,0.0007311628992714527,0.013780872141287355,A
submit_hour,0.00014652525816358786,0.0009147838869103695,0.021975773585143916,A
submit_month,-0.00043259838124475313,0.00019436768458253642,0.027365137878040104,A
