crosslayer_tier,jobs,gpu_hours_total,total_bytes_TB,mean_runtime,mean_gpus,gpu_hours_pct,wasted_cost_usd
Failed_Job,30396,4357066.333333333,1.129037044565,11295.913672851691,12.880346098170811,26.357839600701038,13071199.0
Ghost,127191,3943402.422222222,0.0,3028.5451486347306,13.293110361582187,23.85540190902517,11830207.266666666
Compute_Bound,13076,3345241.157777778,0.0,19085.62113796268,29.755506271030896,20.23685735234467,10035723.473333333
CPU_No_IO,13818,1583785.2511111111,0.0,11115.07808655377,-1.0,9.581024115096714,4751355.753333334
Telemetry_Gap,3111,1083245.0166666666,0.0,7073.45837351334,83.61427193828351,6.553032754889293,3249735.05
Scale_Waster,3495,943519.5188888889,0.0,6081.640629470672,41.38082975679542,5.707770833954242,2830558.5566666666
Balanced,3527,494131.10333333333,73.983934126264,5259.81003685852,38.417351857102354,2.9892196645565794,1482393.31
No_IO_No_GPU,5680,297450.22444444447,0.0,4899.871654929578,24.609154929577464,1.7994092137452407,892350.6733333333
IO_Bottlenecked,11711,236382.0288888889,959.170706141511,968.3215780035864,10.595337716676628,1.429980432998139,709146.0866666667
Moderate_Compute,4985,170375.1211111111,0.0,30759.801203610834,4.0,1.0306751769742042,511125.3633333333
CPU_IO_Job,1034,59974.34888888889,26.519939725619,2095.178916827853,-0.8936170212765957,0.3628116138779196,179923.04666666666
Low_GPU_No_IO,887,13356.826666666666,0.0,13552.586245772267,4.0,0.08080140808529493,40070.479999999996
Short_Job,42250,1984.8177777777762,1.44597681074,14.724994082840237,6.34705325443787,0.012007048922586179,5954.453333333328
Interactive_Test,1473,523.8288888888889,0.0,320.0583842498303,4.0,0.0031688748288998076,1571.4866666666667
